kalian juga tidak banyak membantu terkait dengan jaringan kalian yang terbukti tidak berkualitas .	kalian juga tdk banyak membantu terkait dengan jaringan kalian yang terbukti tdk berkualitas
kan akun kamu private , jadi mereka tidak bisa lihat .	kan akun lu private , jd kaga bisa liat mereka
admin , mengapa akun saya tidak ditemukan ? apakah admin hapus saya punya akun ?	min kenapa akun saya tidak ditemukan ya ? apakah mimin hapus saya punya akun kah ?
akun saya sudah premium , tolong cashback yang seharusnya saya dapat untuk transaksi tanggal segera dikreditkan .	akun sy sdh premium , tolong cashback yg seharusnya sy dapat utk transaksi tgl , segera dikreditkan
tolong periksa dm min . terima kasih !	tolong cek dm yaa min . thx !
halo . minggu lalu saya beli sesuatu dan sudah bayar , tapi mengapa sampai sekarang statusnya masih dalam proses ? sudah seminggu lebih .	halo , minggu lalu saya beli sesuatu sudah bayar pun , tapi ko sampe skrg statusnya masih dalam proses ya ? udah seminggu lebi neeh
"halo . order saya mengapa belum sampai tujuan . tanggal statusnya "" return origin . ini resinya ."	"halo xxxuserxxx order saya kok belum sampai tujuan ya . tgl statusnya "" retur origin . ini resinya"
halo , tolong balas pesan saya admin .	halo tolong bales dm saya min
admin , ini bonus pulsanya bisa untuk paket data tidak ?	min ini bonus pulsanya bisa buat paketan data gak sih ?
pagi juga admin . terima kasih sudah respon . di rumah , hanya ada istri saja min . tidak ada yang menerima . tetangga juga tidak ada yang namanya sandi .	pagi juga min . thanks sdh respon , dirumah cm ada istri aja min . ga ada yg terima . tetangga juga ga ada yg namanya sandi .
aku terlihat senang sekali . makasih choro .	aku terlihat happy sekali . makaci choro
saya pernah seperti ini , untung sadar .	saya pernah kaya gini untung sadar
sudah hari , status belum juga berubah admin . tadi sudah telepon qc katanya cuma disuruh menunggu .	sudah hari , status belum juga berubah nih min . tadi udah telfon qc katanya cuma suruh nunggu
ayo semua pelanggan indosat yang suka terpotong pulsanya atau sinyal jelek . ayo pindah ke . mari - mari .	ayo semuaa pelanggan indosat yg suka kesedot pulsanya atau sinyal jelek ayoo pindah ke yoyoyoo
setelah ini dia mengambek , berasa tidak di anggap oleh kfc .	abis ini ngambek , berasa ga di anggap sama kfc
enaknya , makan es krim berdua . terus saling menyuapi .	enaknya makan es krim berdua , terus suap suapan
percuma dm tetapi tidak dibalas .	percuma dm tapi ga di respon
iya mbak ini belum terupdate , sudah dm adminnya .	iya mbak ini belum terupdate , udah dm adminnua
tolong paket saya nomor resi jp stuck seperti ini saja sudah hari !	tolong paket saya nomor resi jp stuck gini aja udah hari !
saya melakukan transaksinya , melalui mesin atm kak .	ini saya melakukan transaksinya via mesin atm kak
dharm , ini sudah banyak sekali yang mengeluh . mungkin bisa jadi input ke mgmt hahaha .	dharm , ini udah banyak bgt yang ngeluh . mgkn bs jd input ke mgmt wkwk
kode promonya ada di televisi . di rumah selebriti .	loh itu kan kode promonya ada di tv . di rumah seleb
bales dm kawan , dari pagi di - dm .	bales dm cooy , dari pagi di dm
aku pernah gitu terpotong . namun , dia nanti balik kembali jika keadannya masih proses .	aku pernah gt kepotong tp dia nnti balik lg klo keadaannya masih proses
admin , cara memasukkan ke akun spotify - nya bagaimana ? saya tetap tidak mengerti padahal sudah membaca pusat bantuannya hahaha .	admin cara masukin ke akun spotifynya gimana ? saya tetep ga ngerti pdhl udah baca help centernya hahaha
sudah saya dm . tolong segera direspon .	sudah saya dm , tolong segera direspon .
admin , pemenang undian merdeka apakah belum ? sudah dicek ke belum keluar juga .	min pemenang undian merdeka blm ya ? sdh di cek ke blm kluar juga .
mbak lusi , dia sudah pakai jadi hiraukan saja . tadi cuma mencari mutualan dengan provider .	mbak lusi , dia udah make jadi hirauin aja , td cuma nyari mutualan ma provider .
admin , nenek saya naik grab sudah saya bayar pakai ovo tapi ketika turun , nenek saya bayar tunai lagi . gimana cara ovo - nya biar balik ?	min nenek saya naik grab udh saya bayar pake ovo eh pas turun nenek saya bayar cash lagi , cara ovonya biar balik gimana ya ?
selamat malam admin . tolong cek dm dari saya terkait keluhan top up via briva . terima kasih .	selamat malam min . tolong cek dm dari saya terkait keluhan topup via briva , terimakasih .
debaran jantungku menunggu grabfood datang .	debaran jantungku menunggu grab food dateng .
admin . sudah dua hari atm saya tidak bisa digunakan untuk transaksi , keterangan seperti ini ada apa dengan atm ku ?	min sudah dua hari atm saya gk bisa buat transaksi , keterangan spt ini adapakah dgn atm ku ?
bagaimana cara dmnya kak ? nomor saya .	gimana cara dm nya kak ? nomor saya
kalian pengiriman dari jakarta ke jakarta butuh waktu berapa lama ?	kalian pengiriman dari jakarta ke jakarta butuh waktu berapa lama ?
nangis admin . saya mau booking pesawat saja susah banget dari tadi . bagaiamana mau booking jika wa saja pending .	nangis min w mau booking pesawat aja susah banget drtd , ya boro2 mau booking ya wa aja pending2an
mohon maaf kak . silahkan uninstall aplikasi dan buang telepon genggamnya .	mohon maaf , kak . silahkan uninstall aplikasi dan buang handphone - nya .
admin , ini mengapa internetnya lambat sekali ?	min ini kenapa internet nya slow bgt yaa ?
kita sama dari minggu disuruh dm email dan nomor hp tapi sampai sekarang belum benar . astaga . ini bagaimana ?	eh kita sama woy dari minggu disuruh dm email sama nomor hp tapi ampe skrg belum bener astaga . ini gimana sih ?
admin , kalau unlimited indosat itu , ig termasuk unlimited juga tidak ?	min kalo unlimited indosat itu ig termasuk unlimited juga ngga ?
admin , kenapa ovo saya tidak bisa dibuka ?	min kok ovo sy gbs dibuka y
mengapa shopee error ya saat mau checkout menggunakan kartu kredit ?	kok shopee error ya mau checkout pakai kartu kredit .
iya , report - nya di help center saja . aku juga pernah seperti itu , namun kasusnya beda .	iya repportnya dihelp center aja sih . aku jg pernah gt cuma kasusnya beda sih hhu
dear , apakah buka zakat sudah tiada atau hanya akunku saja ?	dear apakah buka zakat sudah tiada ? atau hanya akunku saja .
halo , selamat malam . mau konfirmasi bisa tidak kita melakukan pembatalan pesanan tanpa power merchant - nya harus dicabut . karena ini kebetulan saya ( konsumen ) yang membatalkan .	halo selamat malam mau konfirmasi bisa gak kita melakukan pembatalan pesanan tanpa power merchantnya harus dicabut . karena ini kebetulan saya ( konsumen ) yang mau membatalkan
admin , tolong agar di menu favorite barang bisa difilter seperti pada menu pencarian barang lainnya , bisa diurutkan berdasarkan harga , jasa pengiriman , dan lain - lain .	min , tolong di menu favorite , agar barang bisa di filter seperti pada menu pencarian barang lainnya , bisa disortir harga , jasa pengiriman dll
selesai admin . terima kasih banyak .	done min , terimakasih banyak yaa ️
admin , apakah sms pemberitahuan paket akan habis hari lagi ini agar pulsa aku tidak terpotong data ?	min , apakah sms pemberitahuan paket akan hbs hari lagi ini biar pulsaku kesedot data ?
admin memang kesayangan kita semua .	mimin memang kesayangan kita semua 🤣
admin , tolong respons kelanjutan keluhan saya .	min tolong respon kelanjutan keluhan saya
ya ada hubungannya bang . ini kesenjangan gagu semakin jadi .	yahh ada hubungannya lahh bangg ini kesenjangan gagu makin jadi jadi
channel pengisian kuota maksudnya bagaimana ?	chanel pengisian kuota ? maksdnyah gimana ya
mengapa saya beli pulsa belum masuk ?	saya beli pulsa ko belum masuk yaa ?
admin , agen mapan terpilih ada dimana saja ? saya mau beli paket voucher gojek .	min agen mapan terpilih ada dimana aja ya ? saya mau beli paket voucher gojek nih
kok dm nya tidak bisa admin ?	kok dm nya gabisa ya min ?
belinya menggunakan , dapat cashback . lumayan , dapat kopi gratis .	belinya pake dapet cashback lumayan dapat kopi gratisan
nama saya gani halim hamdani dengan nomor 0, tidak bisa melakukan paket internet .	nama saya gani halim hamdani dengab no 0, tidak bisa melakukan paket internet
mengapa pembelian paket internet malam tidak bisa ya , admin ?	pembelian paket internet malam kok ga bisa ya min ?
terpotongnya bukan cancel charge , namun senilai dengan tarifnya .	kepotongnya bukan cancel charge , tp senilai tarifnya
kategori fitur bpjs kesehatan berada di a .	kategori fitur bpjs kesehatan berada di a
kak , paket untuk roaming internet data di prancis apa ?	kak paket utk roaming internet data di perancis apa ya ?
sebabnya sejak berhari - hari ingin mendaftarkan data internet belum bisa , kakak .	soalnya ini dari kapan hari mau daftarkan data internet belum bisa2 kak
gojek perkenalkan gogames , jangaku industri game dan e - sports .	gojek perkenalkan gogames , jangkau industri game dan esports
periksa dm kakak , sudah dikirim . terima kasih .	cek dm ya kk , sudah dikirim . makasih
"yang lebih cepat dari gundala : "" yang rumah aku sepi nih . dalam perjalanan lebih cepat dari gundala ."	"yang lebih cepet dari gundala : "" yang rumah aku sepi nih "" wuzz otw lebih cepat dari gundala"
memang user paling murah , tetapi jaringannya jelek .	memang user paling murah tapi jaringannya jele
admin , sekarang jam , tidak memecahkan telur lagi ya ? ( mantap )	min sekarang jam , ga lagi mecahin telur y ? ( tap tap mantap )
di hp lain nomor saya juga aneh sinyalnya .	di hp lain nomer saya jg aneh sinyalnya
apakah bisa inv dibatalkan ? soalnya sudah minta ke penjual , malah tidak bisa dibatalkan katanya .	bisa ga inv di batalkan soalnya udah minta ke penjual malah ga bisa di batalin katanya
ini dibatalkan sampai hari ini pengembalian belum juga balk - balik uangnya .	ini dibatalkan sampe hari ini pengembalian blm jg balik2 duitnya .
hai admin , minggu lalu buka tahapan . resi dan sampai sekarang mengapa belum dapat sms dari bcanya untuk voucher tixidnya ?	hi min , kan minggu lalu buka tahapan . resi & smp skrg kok blm dpt sms dari bca nya utk voucher tixid nya ?
selamat malam admin , saya punya masalah , tadi saya transaksi dan sudah melakukan pembayaran . tapi status transaksi saya tidak ditemukan , mohon bantuan , terima kasih .	selamat malam admin , saya punya masalah , tadi saya transaksi dan sudah melakukan pembayaran tapi status transaksi saya tidak ditemukan , mohon bantuanya trimakasih
halo kak . mengapa saya tidak dapat mengaktivasi paket unlimited sejak kemarin ? apakah sedang gangguan ?	halo kak , kenapa saya tidak bisa aktivasi paket unlimited ya dari kemarin . apakah sedang trouble ?
yang lebih cepat dari gundala , gundala naik gundala .	yang lebih cepet dari gundala , gundala naik gundala
segera kirim pesanan saya sudah lewat dari batas waktu .	segera kirim pesanan saya sudah lewat dari batas waktu
baru saja saya membeli barang di tokopedia dan tidak bisa dibatalkan , bisa tolong dibatalkan pesanan saya ?	baru saja saya membeli barang di tokopedia dan tidak bisa dibatalkan , bisa tolong dibatalkan pesanan saya
kenapa aplikasi jadi lambat semenjak update ios ? tetapi gojek tidak .	kenapa aplikasi jadi lemot semenjak update ios ? huftt tapi gojek nggak
admin , hari rabu baru mendaftar paket dan bilangnya berakhir hingga tanggal . mengapa dapat sms baru berakhir hingga tanggal ? tolong min .	min , haru rabu baru paketan dan bilangnya berakhir hingga tgl . lah kok dapet sms baru berakhir hingga tgl ? tolong min
admin . mengapa paket dengan nomor resi , tidak bergerak dari tanggal ?	min kok paket no resi ga gerak2 si dari tanggal
hari minggu tidak ada pengiriman admin ?	hari minggu ngga ada pengiriman ya min ?
admin , informasinya jika upgrade kartu sim ke dapat bonus selama bulan ya ?	min infonya klo upgrade simcard ke dapet bonus . gg selama bulan . yaa
mbaknya panik saat itu . mungkin buru - buru mau ke kantor .	mbaknya panik ya saat itu . mungkin buru2 mau ke kantor .
kapan bisa seperti ini ?	kapan bisa kek gini ?
ini provider isinya hanya bangsat alias maling dan penipu konsumen .	ini provider isiny cm bangsat alias maling dan penipu konsumen
mengapa bisa mengalami gangguan ? saya tidak bisa pulang . sudah mengganti metode pembayaran ke tunai , tetap saja selalu tidak bisa .	koq bisa error ' gk bs pulang niih udah ganti pembayaran tunai teteep aja gk bs2
ceker saya yang harusnya ada di mie ayam , akhirnya uangnya di refund oleh grab . sangat baik terima kasih .	ceker gue yang harusnya ada di mie ayam , akhirnya duitnya di refund sama grab . bae banget thanks
otorisasi verified by visa terblokir , solusinya bagaimana ?	otorisasi verified by visa terblokir , solusinya gimana
admin , mohon dibantu update riwayat stt pengiriman .	min mhn di bantu update stt histori pengiriman .
maaf mbak , menumpang . admin , aku sudah isi saldo gopay di atm kenapa tidak masuk - masuk ?	maaf ya mba numpang . min aku abis isi saldo gopay di atm kok ngga masuk2 ya ?
halo admin . tolong periksa dm .	halo admin cek dm dong
aku mau follow jika admin undang idol aku . jika tidak , aku tidak mau .	aku mau follow kalo mimin undang idol aku kalo gak ga mau
apakah m - banking hari ini error ? karena keluar seperti ini .	apakah mbanking hari ini error ? krn keluar seperti ini
admin , di daerah kabupaten bandung , sinyal hilang walaupun saya restart tetap hilang . mohon pengertiannya admin .	min di daerah kab . bandung sinyal hilang walaupun saya restart tetap hilang , mohon pengertiannya min
kak , akun saya disuspend sudah dari hari jumat . sudah kirim banding tetap saja masih disuspend . tolong dong di unsuspend . teman saya juga kena suspend .	kak akun saya disuspend uda dr hr jumat . uda kirim banding ttp aja masih disuspend . tolong dong di unsuspend . tmn saya jg kena suspend
transaksi . pembeli meminta kami untuk membatalkan transaksi ini . mohon bantuannya .	transaksi . pembeli meminta kami untuk membatalkan transaksi ini . mohon bantuannya
kembalikan uang saya . kalau tidak , masukkan uang saya yang sudah saya top up ke gopay . saya minta tanggung jawab dan respon cepatnya . terima kasih .	woy balikin duit gw woy kalo nggak masukin duit gw yg udah gw top up in ke gopay , tanggung jawab dan direspon cepat , makasih
malam , saya ingin mengembalikan barang karena salah kirim . saya diberi info kalau saya harus meng - upload bukti pengirimannya . upload - nya di mana ? terima kasih .	malam , saya mau mengembalikan barang krn salah kirim . diinfo harus upload bukti pengirimannya . uploadnya dimana ya ? makasih
enak saja , itu subscription aku . bayar bulanan , masalahnya yang tidak ada nasi . bagaimana cara makannya ? kalau sayur asem yang ada tidak apa - apa ikhlas	enak ae . iku subscription ku yo . bayar bulanan . masalahnya yg gaada nasi . gimana cara makannya we . kalo sayur asem yg ada gpp ikhlas
dear . mengapa pulsa saya berkurang ? padahal tidak ada penggunaan tetapi berkurang . sejak ada sms masuk tentang chatting .	dear kok pulsa saya kesedot ya ? padahal tidak ada gunain tp kesedot . semenjak ada sms masuk ttg chatting gitu .
tolong perbaiki sinyalnya . untuk main game online buruk sekali .	tolong perbaiki sinyalnya buat main game online buruk sekali
kenapa setiap mau memesan grabfood , hp saya lambat sekali dan menjadi panas ? tetapi kalau buka grabbike lancar jaya .	kok setiap mau pesen grab food hp saya lemot banget dan jadi panas ya ? tetapi kalau buka grab bike lancar jaya
ovo booth wilayah jogja yang bisa untuk upgrade akun dimana saja admin ?	ovo booth wilayah jogja yang bisa untuk upgrade akun dimana aja ya , min ?
sama kasusnya ini pak . belum dijawab oleh adminnya . mengapa kata admin ?	sama kasusnya nih pak , belom dijawab ama adminnya . kenapa ya kata admin ?
selamat siang . nomor saya hilang . gimana cara mengaktifkannya lagi ?	selamat siang , nomor sy hilang . gimana cara mengatifkan nya lagi yaa ?
nah , sudah saya unreg namun seperti itu responnya . membuat bingung .	naahh udah saya unreg malah gitu responnya . bikin bingung .
kemarin bisa tahu , mas . dapat saat belanja seperti itu . sekarang malah tidak . sedih . tidak mengapa , abang - abang gojek banyak penggemarnya , hahaha .	kemarinn bisa tauu mas . dapet cb pas belanjaa segituu . sekarang malahh gakk . sedihh hh . gakk apaa , mamang mamang gojek banya fansnya ini akakakk
oke , berarti harus di bank bca awal ? untuk identitas apakah bisa lebih dari 1 nomor rekening ?	ok , berarti harus di bank bca awal ya ? untuk identitas apakah bisa lebih dari 1 nmr rek ?
maaf melenceng admin , ada apa dengan jaringan datanya ?	. maaf melenceng min , ada apa dengan jaringan datanya
jaringan luas , internet cepat , kuota melimpah .	jaringan luas internet cepat kuota melimpah
sudah bisa kawan . silahkan dicoba ulang transaksinya .	udah bisa bro silakan dicoba ulang trxny
"admin , promo "" makan , jajan bareng "" jika belum premium , cashbacknya dapat berapa ?"	"min , promo "" makan , jajan bareng "" kalo belom premiun , cashback nya dapet berapa ?"
mengapa sinyalnya sangat jelek ini ?	kenapa ya ko sinyalnya jelek bgt ini
penerima tidak di rumah saat paket tiba . sprinter tersebut tidak ada konfirmasi ke penerima sama sekali . tidak ada telepon . padahal sopnya begitu bukan ?	receiver tidak di rumah saat paket tiba , sprinter tsb ga ada konfirmasi ke receiver sama sekali . ga ada telepon . padahal sopnya begitu kan ?
haha , dari seorang top fans menjadi top haters .	haha , dari seorang top fans menjadi top haters ,
admin , mengapa indosat tidak bisa dipasang paket ?	eyy min , ini kenapa sih indosat kok gabisa dipasang paket
hi admin . joox apakah termasuk dalam paket unlimited ?	hai min , joox apa termasuk dlm paket unlimited ?
sudah dicoba tapi tetap tidak bisa admin . bagaimana ?	udah dicoba tapi tetep ga bisa min , gimana ya ?
dapat bonus pulsa ribu lumayan , tetapi hanya bisa digunakan untuk tarif internet per - kb , telepon , dan sms saja . mengapa tidak bisa didaftarkan paket internet saja ?	dapet bonus pulsa rb mayan , tapinya cuma buat tarif internet perkb , nelpon , sms doang . knp gabisa didaftarin paket internet ajasih ? ️
kak , collect call itu apa ? terima kasih .	kak , collect call itu apa yahh ? makasih
tolong , saya ingin pulang ! tidak ada paket internet !	toloong , pen pulang ini ! ga ada paket internet !
sudah ada resinya , yaitu resi transfer , tapi tetap tidak masuk .	udah ada resinya . resi transfer , tp ttp tidak masuk
aku tidak tahu min , mengapa tidak bisanya . intinya , keterangannya seperti ini aja .	aku nggak tau min nggak bisanya kenapa , pokoknya keterangannya gini aja
baru minggu kemarin peningkatan sistem . tapi kenapa selalu ada peningkatan sistem ?	baru minggu kemaren peningkatan siste tp kenapa selalu ada peningkatan sistem ?
ok , jadi nanti sellernya mengirimkan pesanan yang benar dulu ya ? baru nanti saya kembalikan barang yang salahnya ?	ok , jadi nanti sellernya mengirimkan pesanan yang benar dulu ya ? baru nanti saya kembalikan barang yang salahnya ?
seyakin apa admin sama aku ?	seyakin apa mimin sama aku ?
mohon maaf atas ketidaknyamanannya . mohon saya diinformasikan anda sedang menunggu di halte mana dan tujuan anda ke mana . terima kasih .	mohon maaf atas ketidaknyamanannya , mohon info menunggu di halte mana dan tujuan kemana ? terima kasih
apakah benar anda providernya ?	apakah benar anda providernya ?
warna hijau loh ! sesuai sama warna perusahaan grab ! ea .	warna ijo lhoo ! sesuai ama corporate colour grab ! eaa
mbak , ini yakin terkena gendam . saya saja terkena gendam tahun .	mbak ini fix kena gendam . gw aja kena gendam taon
paket internet lokal , bagaimana kelanjutan jalan keluarnya ?	paket internet lokal nya , bagaimana kelanjutan jalan kluar nya ?
jangan di - protect twitter anda , mereka tidak bisa baca , mbak .	jgn di protect twitter lu , mereka gabisa baca mban
masih belum ada rezekinya hari ini , semoga dalam kesempatan ke depan bisa beruntung dapat hadiah yang diharapkan .	masih belum ada rezekinya hari ini , semoga dalam kesempatan ke depan bisa beruntung dapetin hadiah yang diharapkan
kak , apakah bisa dibantu untuk informasi data pengemudinya ?	kak , bisa bantu ga utk info data drivernya ?
kalau aku : baru juga mau mulai curhat dengan teman , eh dia malah curhat lebih dahulu .	kalo aku : baru juga mau mulai curhat sama temen , eh dia malah curhat duluan
apakah kartu flazz bisa digunakan di krl ?	apakah kartu flazz bisa digunakan di krl ?
halo indosat , apakah lagi gangguan didaerah cileungsi ? dari kemarin susah sinyal .	halo indosat lagi gangguan kah didaerah cileungsi , dari kemaren susah sinyal
hai kak . mohon maaf atas hal tersebut . untuk melakukan pengecekan , silahkan informasikan nomor telepon dan email anda melalui dm . terima kasih .	hai kak , mohon maaf atas hal tsb . untuk melakukan pengecekan silakan informasikan nomor telepon dan email anda melalui dm ya . tks ^ jes
admin , apakah bisa mentransfer kuota melalu mytelkomsel ?	min apakah bisa mentransfer kuota melalui mytelkomsel ?
tidak seorangpun : apakah saya ini hanya candaan bagi kamu ?	no one : am i a joke to you
pesanan dikirim kurir sejak tanggal sampai sekarang kenapa belum sampai ? kenapa untuk nomor customer servicenya tidak bisa dihubungi kak ?	pesanan di kirim kurir dari tgl sampai skrg belum sampai ? untuk nomor customer servicenya tidak bisa di hubungi kak ?
cuma iseng mau menghabiskan qutoa . besok beli lagi hanya rp	cuma iseng mo abisin quota besok beli lagi . cuma rp
saya belum menerima paket saya , karena di rumah tidak ada siapa - siapa dan warung sedang tutup . tapi paketan saya , statusnya sudah diterima tanpa ada nama penerimanya .	saya belum menerima paketan saya karna dirumah gada siapa2 dan warung tutup , tapi paketan saya statusnya sudah diterima , tanpa ada nama penerima nya
terima kasih , khususnya mbak devi karyawan xl center cibinong city mall yang sudah membereskan masalahnya .	thanks khususnya mba devi karyawan xl center cibinong city mall yg udh beresin masalah nya
sangat setuju ! atau paling tidak , berikan opsi untuk mematikan notifikasi donasi tersebut . bukannya tidak mau membantu , tapi itu terlalu sering , jadinya mengganggu .	setuju banget ! atau paling tidak kasih opsi buat matiin notifikasi donasi itu deh . bukannya gak mau bantu , tapi terlalu sering , ganggu jadinya .
dari hari rabu saya coba beli paket sampai sekarang tidak berhasil - berhasil . padahal saya sudah berlangganan belasan tahun . mengapa makin lama makin payah ?	dari hari rabu coba buat paketkan sampai sekarang gak berhasil2 ya . padahal sudah berlangganan belasan tahun . makun lama kok makin payah ya
baik , informasi apa saja yang harus saya berikan untuk konfirmasi ?	baik , informasi apa saja yang harus saya berikan untuk konfirmasi
tolong , tadi disuruh kirim dm . setelah udah kirim malah tidak direspons . bagaimana ini ?	please , tadi disuruh kirim dm . giliran udah kirim malah gak di respon . gimana ini ?
sampah berkata orang lain sampah . tipikal penggemarnya sampah .	sampah bilang org lain sampah . tipikal fans nya si sampah .
bagaimana hub cs grab ? ada masalah yang harus saya sampaikan .	bagaimana hub cs grab ada masalah yg hrs sy sampaikan
admin . ketika ingin mengecek tagihan listrik , mengapa tidak bisa ? muncul pesan di bawah .	admin , ketika mau cek tagihan listrik , kenapa tidak bisa ? muncul pesan dibawah
saya tidak pernah sms ke nomor ini . mengapa terus - terusan terpotong pulsa seperti ini ?	gue gapernah sms kenomor ini ya . kenapa terus terusan kepotong pulsa kaya gini !
mengapa kosong ? padahal nomornya sudah .	kok kosong ? padahal nomernya dah
admin . boleh minta informasi nomor puk untuk nomor ?	min , boleh minta info no puk untuk no
semakin buruk . langganan paket saja tidak berguna , karena sinyalnya semakin hari semakin buruk .	semakin buruk , langganan paket aja gak berguna , karena sinyalnya yang makin hari makin parah buruknya
ini kenapa sekali hari ini ?	ini kenapa busuk sekali ya hari ini ?
baik , terima kasih respons dan infonya .	baik , makasi respon dan infonya ya
juara lari dari kenangan mas lalu . hehe .	juara lari dari kenangan masa lalu , hehe
sudah saya dm kak mohon diperiksa .	sudah saya dm kak mohon dicek .
mohon maaf . itu dm aku yang belum dibalas .	mon maap yaa itu dm aku yg belum di bales
tolong di cek untuk , awb . statusnya misroute itu artinya apa ? lalu untuk paket saya kapan sampainya ? terima kasih .	tolong di cek untuk , awb . statusya misroute itu artinya apa ? lalu untuk paket saya kapan sampainya ? terima kasih
sinyal jelek sekali . tidak di kos , tidak di mal jelek sekali .	sinyal jeleek bgt ga di kos ga di mall jelek bgt
halo , mohon bantuannya . mengapa ini tidak bisa di - redeem ?	hallo , mohon bantuannya ini knp tidak bisa di redeem .
sudah tetap saja tidak bisa aktifkan paket , pulsa saya sangat sering habis karena dipotong . bagaimana ini ? mengapa sekarang im3 oreedonya sangat jelek ?	udah tetep aja ga bisa aktifin paket , trus pulsa saya sering banget habis karna di sedot , gimana sih kok sekarang im3 oreedonya jelek bgt
pengemudi grab di jogja sedang ke gereja berjamaah atau kopi darat ? kenapa sudah menit mencoba grabfood berkali - kali tidak ada yang mengambil pesanan .	driver grab di jogja lg pada gereja berjamaah apa kopdar si anjir masa menit nyoba grabfood berkali kali gaada yg ambil pesenan
